name,vintage-name,origin,description,year,bottle-shot,abv,acidity,ph,sugar,currency,price
Esprit de Tablas,Adelaida District,"California, United States","The Tablas Creek Vineyard 2019 Esprit de Tablas is our flagship red blend, chosen from the best lots of four estate-grown varietals propagated from budwood cuttings from the Château de Beaucastel estate. The wine is based on the dark red fruit, earth, spice and mid-palate richness of Mourvèdre, with additions of Grenache for forward fruit, approachability and lushness, Syrah for mineral, aromatics, and back-palate tannins, and Counoise for brambly spice and acidity.",2019,https://cellar.db.wine/attachments/9e1ce2c1-ebba-4c34-9f33-b35143dfdf02/1ff54dfade3890077a7d57754e91bb15712cafaf468da1f195ba51ece21f5142.jpg,14,,,,USD,60
Esprit de Tablas,Adelaida District,"California, United States","The Tablas Creek Vineyard 2019 Esprit de Tablas is our flagship red blend, chosen from the best lots of four estate-grown varietals propagated from budwood cuttings from the Château de Beaucastel estate. The wine is based on the dark red fruit, earth, spice and mid-palate richness of Mourvèdre, with additions of Grenache for forward fruit, approachability and lushness, Syrah for mineral, aromatics, and back-palate tannins, and Counoise for brambly spice and acidity.",2017,https://cellar.db.wine/attachments/a9c5fa18-0b55-4113-a57f-ffb8e7d01548/742049ad9bcc4e9935aa6201dc84b7ad25dc88a747105d145f1ef1760c353114.jpg,14.5,,,,,
Cinsaut,Adelaida District,"California, United States","This rare Chateauneuf-du-Pape grape, Cinsaut, is propagated from budwood cuttings from the Château de Beaucastel estate.",2020,https://cellar.db.wine/attachments/3c879dd8-6741-4f45-9df3-f93b0067b404/79578aed5ae7ad9b50584a15316c9d15d01c97df6e7bf1a3504ceaca0f902d08.png,12.5,,,,USD,35
Patelin de Tablas Rosé,Paso Robles,"California, United States","The Tablas Creek Vineyard Patelin de Tablas Rosé is a rosé blend in the tradition of Provence, produced from three red Rhône varietals: Grenache, Mourvèdre, and Counoise. The wine incorporates fruit from five top Rhône vineyards in Paso Robles, each vineyard selected for its quality. Like most rosé wines from the Rhône Valley, it is based on the bright strawberry fruit and fresh acidity of Grenache, with additions of deeper red fruit and structure from Mourvèdre and spice from Counoise.",2021,https://cellar.db.wine/attachments/45217fa4-4a76-4f47-85ca-bc2270dd7080/b679c97b24b98f0fac30686348b090f282cac2606c907ff8041a9903ac535e38.jpg,13,,,,,
Patelin de Tablas,Paso Robles,"California, United States","The Tablas Creek Vineyard Patelin de Tablas is a Paso Robles take on a classic Rhône blend: Syrah, Grenache, Mourvèdre, and Counoise, with a small addition of the dark, smoky Tannat grape. The wine incorporates fruit from several of the top Rhône vineyards in Paso Robles, each vineyard selected for its quality. Like many red wines from the Rhône Valley, it is based on the dark fruit, mineral and spice of Syrah. To that Syrah, we incorporate the brightness and fresh acidity of Grenache, the structure and meatiness of Mourvèdre, the dark smokiness and firm structure of Tannat, and a small addition of Counoise for complexity.",2020,https://cellar.db.wine/attachments/f9668c1a-2408-4ccc-a4c0-cae238bcbc24/8bc5fa88361fe19c12afbbc3b9cd643c526707cc526bc19c542af7f2a6073fc9.jpg,13,,,,,
Cotes de Tablas,Adelaida District,"California, United States","The Tablas Creek Vineyard Côtes de Tablas is a blend of four estate-grown Rhône varietals: Grenache, Syrah, Counoise and Mourvedre. Like most wines of the Southern Rhône, it showcases Grenache, featuring that grape's characteristic generous fruit and refreshing acidity, balanced by the spice and mineral of Syrah, the appealing briary wildness of Counoise and the structure of Mourvèdre.",2020,https://cellar.db.wine/attachments/f6df7154-4b81-490d-ae78-6ac3d8f46e7f/c7784cf7d3f779da369f550c180cf495d956d633770e5a055a3f300c6608cf71.jpg,13.5,,,,,
Patelin de Tablas Blanc,Paso Robles,"California, United States","The Tablas Creek Vineyard Patelin de Tablas Blanc is a blend of five white Rhône varietals: Grenache Blanc, Roussanne, Viognier, Marsanne and Bourboulenc. The wine incorporates fruit from five top Rhone vineyards in Paso Robles, each vineyard selected for its quality. Like many white wines from the Southern Rhône, it is based on the crisp acids and rich mouthfeel of Grenache Blanc, with Viognier for floral, tropical aromatics and rich texture, Roussanne and Marsanne for structure and spice, and a small addition of Bourboulenc for texture.",2021,https://cellar.db.wine/attachments/6ca272ec-5b38-4706-b59b-09412a393c47/7fb05f180edfc5213b7e35318947faee39e915183dea3265cabf385ed9a50765.jpg,12.5,,,,,
Roussanne,Adelaida District,"California, United States","The 2020 Tablas Creek Vineyard Roussanne is Tablas Creek’s twentieth varietal bottling of our most important white grape. The Roussanne we got in 2020 was powerfully characteristic of the Roussanne grape, and we highlighted its balance of richness and freshness by selecting lots from large foudres, small barriques, and mid-size demi-muids.",2020,https://cellar.db.wine/attachments/99493425-74be-4493-8b79-2d107cadce78/08e1e56d65e4b1782f18bf25eaf9aecc6e97ba96fd8a977d910503386a7d9257.jpg,12,,,,,
Cotes de Tablas Blanc,Adelaida District,"California, United States","The Tablas Creek Vineyard 2020 Côtes de Tablas Blanc is a blend of four estate-grown white Rhône varietals. The wine, following the model set by wines of the Southern Rhône, is a blend of varietals, led by the floral aromatics and stone fruit of Viognier and complemented by the crisp acids and rich mouthfeel of Grenache Blanc, the elegance and minerality of Marsanne, and the structure of Roussanne.",2020,https://cellar.db.wine/attachments/805a39a2-9b84-45c7-9a4f-c20670c2ed4d/5bbbb9b9e7e174af7e364a94c745938dcf8efc859653293e12c1c1c58d5ada22.jpg,12.5,,,,,
Dianthus,Adelaida District,"California, United States","The Tablas Creek Vineyard Dianthus 2021 is a blend of four estate-grown varieties (including, for the first time, Cinsaut) propagated from budwood cuttings from the Château de Beaucastel estate. The blend incorporates the rosé traditions of the southern Rhône, taking its Mourvèdre foundation from the solid, dry rosés of Bandol and incorporating the structure of skin contact from the rich, juicy Grenache-based Tavel. Dianthus refers to a genus of flowering plants known for their deep pink blossoms and known colloquially to gardeners as ""pinks"".",2021,https://cellar.db.wine/attachments/3f8b543e-f5dd-4b3d-8ac8-b3b71c7d2832/9c05ffc94963dc522fbd441c0fac5a01c6113b4c131aa9d65f28d1afa72c2422.jpg,13.5,,,,,
